"id":"1358802";"name":"Allikavesi karboniseerimata Rimi Kids 0,5l";"category":"SH-3-12-8";"brand":null;"price":0.35;"old_price":NaN;"discount_type":
"id":"1358811";"name":"Allikavesi karboniseeritud Rimi 0,5l";"category":"SH-3-12-8";"brand":null;"price":0.35;"old_price":NaN;"discount_type":
"id":"1358820";"name":"Allikavesi karboniseerimata Rimi 0,5l";"category":"SH-3-12-8";"brand":null;"price":0.35;"old_price":NaN;"discount_type":
"id":"812160";"name":"Jahvatatud must pipar Rimi Basic 15g";"category":"SH-13-12-75";"brand":null;"price":0.36;"old_price":NaN;"discount_type":
"id":"811336";"name":"Kohuke karamelliglasuuriga Rimi 38g";"category":"SH-11-2-7";"brand":null;"price":0.37;"old_price":NaN;"discount_type":
"id":"811346";"name":"Kohuke küpsiste ja želeetükkidega Rimi 38g";"category":"SH-11-2-7";"brand":null;"price":0.37;"old_price":NaN;"discount_type":
"id":"811936";"name":"Köögiviljamaitselised kiirnuudlid Rimi Basic";"category":"SH-13-8-39";"brand":null;"price":0.37;"old_price":NaN;"discount_type":
"id":"812371";"name":"Mahlajook Rimi virsiku ja viinamarja 0,2l";"category":"SH-3-8-2";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"128630";"name":"Kummikommid Red Band Tutti Frutti Hearts 15g";"category":"SH-9-3-2";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"624152";"name":"Joonlaud plastik 20cm";"category":"SH-10-47";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"812630";"name":"Õunamahlajook Rimi 200ml";"category":"SH-3-8-2";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"1003246";"name":"Kohvijook lahustuv cappuccino Nescafe 15g";"category":"SH-13-9-47";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"812372";"name":"Mahlajook Rimi apelsini,banaani,virsiku 200ml";"category":"SH-3-8-2";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"812378";"name":"Mahlajook Rimi multipuuvilja 200ml";"category":"SH-3-8-2";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"805782";"name":"Kassisööt Purrrfect linnul. tükid kastm. 100g";"category":"SH-7-1-1";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"987102";"name":"Kohuke maasika Karums 45g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":0.51;"discount_type":regular
"id":"7269191";"name":"Harilik pliiats kustutuskumm EK 2x2 HB AW22";"category":"SH-10-59";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"269071";"name":"Kohuke kookose Karums 45g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":0.54;"discount_type":regular
"id":"811953";"name":"Tomati-kiirsupp Rimi Express nuudlitega 21g";"category":"SH-13-8-41";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"811957";"name":"Kiirsupp Rimi Express kana ja nuudlitega 14g";"category":"SH-13-8-41";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"949418";"name":"Kohupiimadessert valge gl. Jeppi 38g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"257082";"name":"Kakaodessert gl. šokolaadi Jeppi 38g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"257084";"name":"Kohupiimadessert gl. vaarika Jeppi 38g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"269083";"name":"Kohuke šokolaadi Karums 45g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":0.49;"discount_type":regular
"id":"269085";"name":"Kohuke karamelli Karums 45g";"category":"SH-11-2-7";"brand":null;"price":0.39;"old_price":0.49;"discount_type":regular
"id":"101375";"name":"Vahvlibatoon Fazer Suffeli 21g";"category":"SH-9-9-21";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"1350162";"name":"Joogivesi Saaremaa 0,5l";"category":"SH-3-12-8";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"7269121";"name":"Pastapliiats keeratav TROPIC AW22";"category":"SH-10-55";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
