,id,desc,category,price,old_price
0,7340011428497.0,rainbow kiivi karbis 0.5kg,"Puu- ja juurviljad,Puuviljad",1.99,
1,7340011432371.0,rainbow avokaado pakitud 0.8kg,"Puu- ja juurviljad,Puuviljad",4.59,
2,5997690711574.0,õunakrõps golden 0.04kg,"Puu- ja juurviljad,Puuviljad",1.59,
3,5997690707874.0,õunakrõps jonathan 0.04kg,"Puu- ja juurviljad,Puuviljad",1.59,
4,6414890440176.0,holland pirn conference pakitud 1kg,"Puu- ja juurviljad,Puuviljad",1.49,
5,2060400800004.0,hispaania sidrun ii klass,"Puu- ja juurviljad,Puuviljad",1.99,
6,2060430500004.0,türgi granaatõun,"Puu- ja juurviljad,Puuviljad",2.39,
7,2060430700008.0,belgia õun golden  i klass,"Puu- ja juurviljad,Puuviljad",1.79,
8,2060460200004.0,türgi viinamari red magic i klass,"Puu- ja juurviljad,Puuviljad",3.99,
9,2060490100008.0,costa rica ananass rainbow,"Puu- ja juurviljad,Puuviljad",1.89,
10,2060490500006.0,brasiilia kollane melon,"Puu- ja juurviljad,Puuviljad",1.79,
11,2060490600003.0,tšiili avokaado hass söögivalmis,"Puu- ja juurviljad,Puuviljad",5.99,
12,2060491100007.0,hispaania hurmaa i klass,"Puu- ja juurviljad,Puuviljad",3.49,
13,2060493000008.0,brasiilia laim,"Puu- ja juurviljad,Puuviljad",4.29,
14,2060493100005.0,hispaania melon roheline,"Puu- ja juurviljad,Puuviljad",2.79,
15,2060505200006.0,iisrael greip jaffa valge,"Puu- ja juurviljad,Puuviljad",2.89,
16,2060514600002.0,poola õun  paulared ii klass,"Puu- ja juurviljad,Puuviljad",0.59,
17,2060515000009.0,prantsusmaa õun granny smith i klass,"Puu- ja juurviljad,Puuviljad",2.19,
18,2060515100006.0,lav õun royal gala  i klass,"Puu- ja juurviljad,Puuviljad",1.59,
19,8437010537158.0,pom´bel õuna-banaani-maasika puuviljamiks 0kg,"Puu- ja juurviljad,Puuviljad",2.49,
20,2060400700007.0,leedu banaan  chiquita,"Puu- ja juurviljad,Puuviljad",1.29,
21,8718366803136.0,eesti füüsal 0.1kg,"Puu- ja juurviljad,Puuviljad",1.69,
22,2060492300000.0,kolumbia granadill,"Puu- ja juurviljad,Puuviljad",11.99,
23,6414894500609.0,rainbow hele viinamari ifg ten 0.5kg,"Puu- ja juurviljad,Puuviljad",3.49,
24,6414894500401.0,rainbow tume viinamari sugarthreen seemneteta 0.5kg,"Puu- ja juurviljad,Puuviljad",3.99,
25,2060431500003.0,eesti õun talvenauding i klass,"Puu- ja juurviljad,Puuviljad",3.29,
26,8713037000241.0,mehhiko avokaado mahe 0.3kg,"Puu- ja juurviljad,Puuviljad",3.99,
27,8713037001071.0,itaalia kiivi mahe 0.3kg,"Puu- ja juurviljad,Puuviljad",1.99,
28,6405940735090.0,elevandiluurannik kookospähkel,"Puu- ja juurviljad,Puuviljad",2.29,
29,2060492900002.0,tšiili kiivi  ii klass,"Puu- ja juurviljad,Puuviljad",1.59,
30,2060432600009.0,prantsusmaa õun honey crunch i klass,"Puu- ja juurviljad,Puuviljad",3.59,
31,2060460800006.0,viinamari tume dark moldova i klass,"Puu- ja juurviljad,Puuviljad",1.99,
32,8718366857269.0,kolumbia avokaado söögivalmis 2 tk,"Puu- ja juurviljad,Puuviljad",1.99,
33,2060442000004.0,holland pirn conference i klass,"Puu- ja juurviljad,Puuviljad",1.39,
34,2060433700005.0,holland õun jonagold i  klass,"Puu- ja juurviljad,Puuviljad",0.89,
35,2060494500002.0,rainbow arbuus,"Puu- ja juurviljad,Puuviljad",2.29,
36,6414894500241.0,hispaania rainbow klementiin i klass 1kg,"Puu- ja juurviljad,Puuviljad",1.39,
37,8437010537165.0,pom´bel õuna-mango puuviljamiks 0kg,"Puu- ja juurviljad,Puuviljad",2.79,
38,2060400200002.0,hispaania apelsin navelina i klass,"Puu- ja juurviljad,Puuviljad",1.89,
39,2060400400006.0,hispaania klementiin i klass,"Puu- ja juurviljad,Puuviljad",1.39,
40,2060138400002.0,peruu banaan fair trade,"Puu- ja juurviljad,Puuviljad",2.09,
