,desc,score,match_desc
7499,küpsis kihiline kuno plaan 0.5kg,1.0,kuno plaan kihiline küpsis 0.5kg
8890,calvados coquerel vsop 40% 0.5l,1.0,coquerel vsop calvados 40% 0.5l
651,kiirkaerahelbed täistera tartu mill 0.5kg,1.0,tartu mill täistera kiirkaerahelbed 0.5kg
3363,must pipar purustatud santa maria 0.036kg,1.0,santa maria must pipar purustatud 0.036kg
657,rukkisepik eesti pagar 0.3kg,1.0,eesti pagar rukkisepik 0.3kg
658,mikropopkorn võimaitseline estrella 0.09kg,1.0,estrella mikropopkorn võimaitseline 0.09kg
7952,must pipar purustatud santa maria 0.2kg,1.0,santa maria must pipar purustatud 0.2kg
3375,vahvlijahu tartu mill 0.4kg,1.0,tartu mill vahvlijahu 0.4kg
3378,pasta gnocchi barilla 0.5kg,1.0,barilla pasta gnocchi 0.5kg
1452,õlu a.le coq pilsner 4.2% 0.5l,1.0,a.le coq pilsner õlu 4.2% 0.5l
4011,kookoskreem santa maria 0.25l,1.0,santa maria kookoskreem 0.25l
3384,pasta fusilli barilla 0.5kg,1.0,barilla pasta fusilli 0.5kg
4547,nisujahu t-550 kalew 2kg,1.0,kalew nisujahu t-550 2kg
675,kurkum jahvatatud santa maria 0.02kg,1.0,santa maria kurkum jahvatatud 0.02kg
8887,gin beefeater london dry 40% 1l,1.0,beefeater london dry gin 40% 1l
5513,frikadellid rakvere 0.4kg,1.0,rakvere frikadellid 0.4kg
1170,joogijogurt metsamarja activia 0.28kg,1.0,activia metsamarja joogijogurt 0.28kg
5512,juust fitaki original 0.5kg,1.0,fitaki juust original 0.5kg
1845,rukki-seemneleib karja pagar 0.38kg,1.0,karja pagar rukki-seemneleib 0.38kg
5505,seljanka kodune salvest 0.53kg,1.0,salvest kodune seljanka 0.53kg
3388,sinep mahedamaitseline põltsamaa 0.17kg,1.0,põltsamaa mahedamaitseline sinep 0.17kg
1843,sidrunipipar santa maria 0.03kg,1.0,santa maria sidrunipipar 0.03kg
684,kohupiimakreem vanilli alma 0.3kg,1.0,alma vanilli kohupiimakreem 0.3kg
3389,adžika felix 0.26kg,1.0,felix adžika 0.26kg
5501,karripasta punane santa maria 0.11kg,1.0,santa maria punane karripasta 0.11kg
1836,jogurt virsiku-papaia gefilus 0.38kg,1.0,gefilus virsiku-papaia jogurt 0.38kg
650,hapukoor alma 20% 0.25kg,1.0,alma hapukoor 20% 0.25kg
649,pastillid spearmint orbit 0.028kg,1.0,orbit spearmint pastillid 0.028kg
5560,köögiviljasalat magushapu põltsamaa 0.55kg,1.0,põltsamaa magushapu köögiviljasalat 0.55kg
3347,pasta farfalle barilla 0.5kg,1.0,barilla pasta farfalle 0.5kg
1886,moosipaksendaja mikaado 0.03kg,1.0,mikaado moosipaksendaja 0.03kg
1885,pagariröst juustuga eesti pagar 0.43kg,1.0,eesti pagar pagariröst juustuga 0.43kg
1884,5-viljaröst täisterahelvestega fazer 0.45kg,1.0,fazer 5-viljaröst täisterahelvestega 0.45kg
5618,kanasigar tallegg 0.2kg,1.0,tallegg kanasigar 0.2kg
5613,tšillikaste magus thai choice 0.7l,1.0,thai choice magus tšillikaste 0.7l
5609,ökoloogiline mangopüree salvest 0.45kg,1.0,salvest ökoloogiline mangopüree 0.45kg
1880,multinektar aura 1l,1.0,aura multinektar 1l
5603,pelmeenid pealinna 0.7kg,1.0,pealinna pelmeenid 0.7kg
1878,kaneelipulgad kotanyi 0.017kg,1.0,kotanyi kaneelipulgad 0.017kg
4034,kondenspiim suhkruga jaani 0.25kg,1.0,jaani kondenspiim suhkruga 0.25kg
625,multinektar loodusvägi mahe 0.2l,1.0,loodusvägi mahe multinektar 0.2l
626,punase viinamarja nektar loodusvägi mahe 0.2l,1.0,loodusvägi mahe punase viinamarja nektar 0.2l
1877,mozzarella kirsid piimameister otto 0.125kg,1.0,piimameister otto mozzarella kirsid 0.125kg
5597,seljanka kodune põltsamaa 0.53kg,1.0,põltsamaa kodune seljanka 0.53kg
5596,köögiviljasalat magus-vürtsikas salvest 0.38kg,1.0,salvest magus-vürtsikas köögiviljasalat 0.38kg
4030,hapukurk 0.4kg,1.0,hapukurk 0.4kg
633,siider somersby apple 4.5% 0.33l,1.0,somersby apple siider 4.5% 0.33l
5591,juust gouda viilutatud e-piim 0.3kg,1.0,e-piim juust gouda viilutatud 0.3kg
5586,taco taskud santa maria 0.135kg,1.0,santa maria taco taskud 0.135kg
7562,munavalged õrrekanade munadest whitepro 1kg,1.0,whitepro munavalged õrrekanade munadest 1kg
637,sinep kange põltsamaa 0.065kg,1.0,põltsamaa kange sinep 0.065kg
8202,kirju kohupiimatort eesti pagar 1.05kg,1.0,eesti pagar kirju kohupiimatort 1.05kg
3344,mahlajook ploomi-õuna aura fresh 2l,1.0,aura fresh ploomi-õuna mahlajook 2l
1168,seakamarakrõpsud pipra ja soolaga ossi 0.04kg,1.0,ossi pipra ja soolaga seakamarakrõpsud 0.04kg
1835,täispiimajogurt muraka alma 0.35kg,1.0,alma täispiimajogurt muraka 0.35kg
1417,ürdiaia segu santa maria 0.029kg,1.0,santa maria ürdiaia segu 0.029kg
3469,tomatikaste pitsale panzani 0.39kg,1.0,panzani tomatikaste pitsale 0.39kg
3450,juustudipp cheddari merevaik 0.2kg,1.0,merevaik cheddari juustudipp 0.2kg
3451,austrikaste thai choice 0.2l,1.0,thai choice austrikaste 0.2l
5355,hapukapsaborš sealihaga põltsamaa 0.53kg,1.0,põltsamaa hapukapsaborš sealihaga 0.53kg
8676,gin gordons sicilian lemon 37.5% 0.7l,1.0,gordons sicilian lemon gin 37.5% 0.7l
4563,salatikaste ranch felix 0.375kg,1.0,felix ranch salatikaste 0.375kg
3458,riisihelbed helen 0.5kg,1.0,helen riisihelbed 0.5kg
3459,vanillisuhkur meira 0.085kg,1.0,meira vanillisuhkur 0.085kg
3991,õlu leffe brune 6.5% 0.33l,1.0,leffe brune õlu 6.5% 0.33l
7657,šokolaadi-banaani tort eesti pagar 0.65kg,1.0,eesti pagar šokolaadi-banaani tort 0.65kg
1782,jahimehesegu santa maria 0.03kg,1.0,santa maria jahimehesegu 0.03kg
1781,keefir väherasvane hellus 1% 1kg,1.0,hellus väherasvane keefir 1% 1kg
3470,vahukoor alma 35% 0.4l,1.0,alma vahukoor 35% 0.4l
5486,verivorst suitsupeekoniga matsimoka 0.365kg,1.0,matsimoka verivorst suitsupeekoniga 0.365kg
1776,iirised pehmed kalev kiss-kiss 0.15kg,1.0,kalev kiss-kiss pehmed iirised 0.15kg
