,Unnamed: 0,id,nimi,kategooria,hind,vana_hind,soodus
289,377,927922,jõhvika-mannavaht 0.2kg,SH-16-2,0.73,,"
"
290,378,1368328,alk.vaba jook hartwall original ld 0.33l,SH-3-2,0.73,,"
"
291,385,1364649,mineraalvesi rimi karboniseeritud 1.5l,SH-3-12-8,0.74,,"
"
292,394,952676,täispiim alma 3.8-4.2% 0.5l,SH-11-8-37,0.74,,"
"
293,387,1360003,joogivesi karb-tud rimi sidrunimaits 1.5l,SH-3-12-9,0.74,,"
"
294,386,812136,"kassisööt nutribalance kana,kalkun 0.085kg",SH-7-1-1,0.74,,"
"
295,384,1364661,mineraalvesi rimi karboniseerimata 1.5l,SH-3-12-8,0.74,,"
"
296,381,195829,valge šokolaadi batoon lion 2-pakk 0.06kg,SH-9-9-21,0.74,,"
"
297,382,812123,kassisööt nutribalance lõhega 0.085kg,SH-7-1-1,0.74,,"
"
298,380,812122,kassisööt nutribalance loomal.linnul.85g,SH-7-1-1,0.74,,"
"
299,379,812132,"kassisööt nutribalance lõhega,steril.85g",SH-7-1-1,0.74,,"
"
300,383,1360021,joogivesi pohlamaits karbon rimi 1.5l,SH-3-12-9,0.74,,"
"
301,420,177825,müslibatoon šokolaadi nestle 0.035kg,SH-13-3-17,0.75,,"
"
302,415,262695,broilerikael külmutatud 0.4kg,SH-4-4,0.75,,"
"
303,417,100958,pastillid mentho lyptus halls 0.0335kg,SH-9-7,0.75,,"
"
304,418,141823,pastillid metsamarja halls 0.0335kg,SH-9-7,0.75,,"
"
305,419,801702,4-viljahelbed rimi 0.5kg,SH-13-2-11,0.75,,"
"
306,421,164383,kaerahelbed tartu mill 0.5kg,SH-13-2-9,0.75,,"
"
307,414,281223,pekaanipähklisaiake vahtrasiirupiga 0.091kg,SH-6-6,0.75,,"
"
308,423,108235,sidrunhape santa maria 0.03kg,SH-13-13-81,0.75,,"
"
309,424,105050,küpsetuspulber santa maria 0.045kg,SH-13-13-83,0.75,,"
"
310,425,269173,kurk kg,SH-12-2-11,0.75,,"
"
311,426,140490,kiirpuder kaerahelbe jõhvika veski mati 0.045kg,SH-13-2-12,0.75,,"
"
312,427,140493,kaerahelbe kiirpuder mustikaga veski mati 0.045kg,SH-13-2-12,0.75,,"
"
313,422,804291,tee must rimi basic 0kg,SH-13-17-95,0.75,,"
"
314,413,205052,leib rukkipala leibur 0.33kg,SH-6-2-12,0.75,,"
"
315,416,164253,šokolaadibatoon twix 0.05kg,SH-9-9-21,0.75,,"
"
316,411,252050,mahlajää 4-maitseline jocker 0.08kg 0.08l,SH-4-1-5,0.75,,"
"
317,395,917919,mitmevilja croissant 0.072kg,SH-6-6,0.75,,"
"
318,396,988545,jogurt maasika farmi 0.15kg,SH-11-2-5,0.75,,"
"
319,397,177834,müslibatoon šokolaadi-banaani nestle 0.035kg,SH-13-3-17,0.75,,"
"
320,398,975736,rukkileib pärnu elt 0.26kg,SH-6-3-15,0.75,,"
"
321,399,177816,müslibatoon maasika nestle 0.035kg,SH-13-3-17,0.75,,"
"
322,400,813205,must tee rimi basic 0.08kg,SH-13-17-95,0.75,,"
"
323,403,140492,kiirpuder kaerahelbe õuna veski mati 0.045kg,SH-13-2-12,0.75,,"
"
324,405,1009768,närimiskumm orbit white vaar.-granaatõuna 0.014kg,SH-9-3-5,0.75,,"
"
325,406,955603,moonirull 0.072kg,SH-6-6,0.75,,"
"
326,408,201173,jäätis šokolaadi väike tom 0.06kg 0.09l,SH-4-1-9,0.75,0.95,"loyalty
"
327,412,804338,piim kile rimi 2.5% 1l,SH-11-8-37,0.75,,"
"
328,409,812837,mini läätsevahvlid rimi 0.044kg,SH-13-1-2,0.75,,"
"
329,410,1370687,karb.vesi vichy classique blueberry 1.5l pet,SH-3-12-9,0.75,,"
"
330,404,205877,koolijäätis väike tom 0.06kg 0.09l,SH-4-1-9,0.75,0.94,"loyalty
"
331,433,101282,pastillid extra-strong mynthon 0.034kg,SH-9-7,0.76,,"
"
332,434,106462,pastillid citrus multivitamin mynthon 0.034kg,SH-9-7,0.76,,"
"
333,432,995316,sõõrik metsamarjatäidisega mantinga 0.07kg,SH-6-6,0.76,,"
"
334,428,803341,jogurt kreeka maitsestamata rimi 0.18kg,SH-11-2-8,0.76,,"
"
335,430,140517,pastillid sidruni&mee myntho 0.034kg,SH-9-7,0.76,,"
"
336,429,100785,vahvlibatoon šokolaadis fazer kismet 0.055kg,SH-9-9-21,0.76,,"
"
337,431,807746,tomatid tükeldatud basiilikuga rimi 0.4kg,SH-13-10-63,0.76,,"
"
338,445,7230242,"kassieine gourmet gold kana,pasteet,85g",SH-7-1-1,0.77,,"
"
339,452,7124735,"kassieine gourmet lammas uba,tükid,85g",SH-7-1-1,0.77,,"
"
340,453,155547,"kassisööt gourmet kalkun-part,tükid,85g",SH-7-1-1,0.77,,"
"
341,450,7005660,"kassis gourmet küülik-maks,tükid,85g",SH-7-1-1,0.77,,"
"
342,449,7006629,kiisueine gourmet gold kalkunipasteet 0.085kg,SH-7-1-1,0.77,,"
"
343,448,497683,kiisueine loomaliha gourmet gold 0.085kg,SH-7-1-1,0.77,,"
"
344,447,7230244,"kassieine gourmet gold lõhe,pasteet,85g",SH-7-1-1,0.77,,"
"
345,446,7230243,kassieine gourmet gold veiseliha 0.085kg,SH-7-1-1,0.77,,"
"
346,444,7124728,kassieine gourmet gold kana porgand 0.085kg,SH-7-1-1,0.77,,"
"
347,451,802411,valge šokolaad poesia 0.1kg,SH-9-9-23,0.77,,"
"
348,442,7124744,"kassieine gourmet loomaliha,tükid,85g",SH-7-1-1,0.77,,"
"
349,441,155546,kiisueine gourmet gold kana-maks 0.085kg,SH-7-1-1,0.77,,"
"
350,440,7006632,kiisueine gourmet gold duo 0.085kg,SH-7-1-1,0.77,,"
"
351,439,7006631,"kassieine gourmet lõhe kana,tükid,85g",SH-7-1-1,0.77,,"
"
352,438,7006628,kassisööt gourmet gold kanapasteet 0.085kg,SH-7-1-1,0.77,,"
"
353,437,803185,kohupiimakreem virsiku rimi 0.15kg,SH-11-4-21,0.77,,"
"
354,436,200930,till pakitud kg,SH-12-3,0.77,,"
"
355,435,176022,vahvlibatoon šokolaadis kitkat 0.0415kg,SH-9-9-21,0.77,,"
"
356,443,497705,kiisueine gourmet gold tuunikala 0.085kg,SH-7-1-1,0.77,,"
"
357,457,807492,tulemasin rimi,10-54-105,0.78,,"
"
358,456,177271,suhkrust südamekesed dr.oetker 0.01kg,SH-13-13-82,0.78,,"
"
359,454,188605,suhkrust värvilised tähed dr.oetker 0.01kg,SH-13-13-82,0.78,,"
"
