,Unnamed: 0,id,desc,category,price,old_price,discount_type
6727,8991,298041,mandariin sinfonia 1kl rimi 1.5kg,SH-12-5-29,4.99,,"
"
6728,8989,1356832,alkoholivaba glögg blossa 0.75l,SH-3-3,4.99,5.99,"regular
"
6729,8988,106843,ar.puuviljavein tulipunane talleke 0.7l,SH-1-11-1,4.99,,"
"
6730,8987,784360,mänguasi pusle 100tk 16138 trefl,SH-5-5-10,4.99,,"
"
6731,8986,7217431,aromat puuviljavein imperial glögg 0.75l,SH-1-11-1,4.99,,"
"
6732,8985,7204722,õhuvarskendaja fiber canblack ice,SH-15-2-11,4.99,,"
"
6733,8984,7204717,õhuvärskendaja autosse fiber can cherry,SH-15-2-11,4.99,,"
"
6734,8983,7103761,õhuvärskendaja wb coconut (pudel),SH-15-2-11,4.99,,"
"
6735,8982,7240517,laste sokid i love eco 3 paari 28-30,SH-5-8-2,4.99,,"
"
6736,8981,7240520,laste sokid i love eco 3 paari 34-36,SH-5-8-2,4.99,,"
"
6737,8980,7240522,laste sokid i love eco 3 paari 34-36,SH-5-8-2,4.99,,"
"
6738,8979,972958,kalafileepalad tempura taignas vici 0.3kg,SH-4-2-11,4.99,,"
"
6739,8972,7074343,jätkupiimasegu tutteli 2 6k+ 0.35kg,SH-5-6-18,4.99,,"
"
6740,9011,7240495,laste sokid i love eco 3 paari 25-27,SH-5-8-2,4.99,,"
"
6741,8960,804529,kuivatatud aprikoos kivita awake 0.4kg,SH-9-4-11,4.99,,"
"
6742,9156,171927,batoonikesed kalev kirju koer kg,SH-9-3,5.0,,"
"
6743,9159,1010684,šokolaadikommid soolakaramelliga sorini kg,SH-9-3-1,5.04,,"
"
6744,9160,134052,till santa maria 0.06kg,SH-13-12-76,5.05,,"
"
6745,9161,127277,aroomisool santa maria 0.39kg,SH-13-12-77,5.05,,"
"
6746,9162,191188,broilerimaitseaine santa maria 0.275kg,SH-13-12-73,5.05,,"
"
6747,9163,980779,kanepi - tatrakama tarmere 0.3kg,SH-19-4,5.05,,"
"
6748,9164,939689,astelpajumoos villagu 0.35kg,SH-19-5,5.05,,"
"
6749,9165,134097,kartulimaitseaine santa maria 0.35kg,SH-13-12-73,5.05,,"
"
6750,9192,296859,singi-ja šampinjonipitsa külmut 0.425kg,SH-4-5-19,5.09,,"
"
6751,9179,801374,jäätis jogurti-maasika rimi 1kg 2l,SH-4-1-8,5.09,,"
"
6752,9191,7175211,m a fluffy narmasöökull valgusega,SH-5-5-9,5.09,,"
"
6753,9188,803456,broiler jahutatud rimi kg,SH-8-9-25,5.09,,"
"
6754,9193,801395,jäätiseassortii rimi 1kg 2l,SH-4-1-8,5.09,,"
"
6755,9178,7175221,m a fluffy keelega koll valgusega,SH-5-5-9,5.09,,"
"
6756,9167,1003307,kakaojook opti-start nesquik 0.7kg,SH-13-5,5.09,,"
"
6757,9174,289752,mahe mesi metsaõite aasa 0.35kg,SH-19-5,5.09,,"
"
6758,9173,970121,juust gouda sibula-küüslaugu nopri 0.25kg,SH-11-3-19,5.09,,"
"
6759,9169,803239,ekstra-neitsioliiviõli rimi 0.5l,SH-13-19-114,5.09,,"
"
6760,9166,7151391,pähklite segu germund 0.25kg,SH-9-4-13,5.09,,"
"
6761,9176,807940,mahl tomati rimi 3l,SH-3-8-1,5.09,,"
"
6762,9204,185026,pralineekompvek maiuspala kg,SH-9-3,5.12,,"
"
6763,9205,949670,keefirimarinaadis sašlõkk,SH-8-14-20,5.15,,"
"
6764,9229,175751,hommikusöögihelbee cini minis nestle 0.645kg,SH-13-3-15,5.19,,"
"
6765,9230,172708,hommikueine lion 0.6kg,SH-13-3-15,5.19,,"
"
6766,9234,808706,kolmejuustupitsa juustuäärega rimi 434g,SH-4-5-19,5.19,,"
"
6767,9240,1005755,müsli rubiin täkumetsa 0.3kg,SH-13-3-16,5.19,,"
"
6768,9241,7046828,vein vini salpitelli bianco 1l,SH-1-11-6,5.19,,"
"
6769,9248,993562,kanasink kõrvitsaseemne fitlap nõo 0.4kg,SH-8-11-20,5.19,,"
"
6770,9243,982441,hiidk soolvees kaluri 0.1kg 0.2kg asc,SH-8-3-4,5.19,,"
"
6771,9246,994313,ahjuvorst sibula ja äädikaga matsimoka 0.365kg,SH-8-1-31,5.19,,"
"
