,id,desc,category,price,old_price,discount_type
1980,1350343,õlu a.le coq premium 4.7% 0.5l prk,SH-1-6,1.59,,"
"
1981,155315,ananassitükid siirupis sunfood 0.227kg,SH-13-10-60,1.59,,"
"
1982,1351065,õlu faxe premium 5% 0.5l prk,SH-1-6,1.59,,"
"
1983,1353211,õlu tõmmu hiid 4.7% 0.5l pdl,SH-1-6,1.59,,"
"
1984,1353332,õlu a.le coq special 5.2% 0.5l,SH-1-6,1.59,,"
"
1985,1359812,õlu meistrite gildi pilsner 0.568l prk,SH-1-6,1.59,,"
"
1986,1350060,õlu rock hele 5.3% 0.5l,SH-1-6,1.59,,"
"
1987,102782,pikateraline riis bosto 0kg,SH-13-15-91,1.59,,"
"
1988,120739,moosipaksendaja mikaado 0.03kg,SH-13-13-80,1.59,,"
"
1989,959636,kodujuust crème brulée alma 0.2kg,SH-11-4-20,1.59,,"
"
1990,1000086,tortiljakrõpsud bbq maits doritos 0.1kg,SH-13-11-65,1.59,,"
"
1991,962520,köögikoor farmi 15% 0.4l,SH-11-5-24,1.59,,"
"
1992,1367077,toonik indian tonic orn craft 1l pet,SH-3-11,1.59,,"
"
1993,1367076,toonik rose lemonade orn craft 1l pet,SH-3-11,1.59,,"
"
1994,116001,tume šokolaad schogetten 0.1kg,SH-9-9-22,1.59,,"
"
1995,939478,makaroni-singisalat 0.2kg,SH-16-6,1.59,,"
"
1996,7197677,püree mango-porgand-astelpaju muuti 0.11kg,SH-5-6-23,1.59,,"
"
1997,7104648,kaera-riisipuder õun-virsik 6k 0.12kg,SH-5-6-17,1.59,,"
"
1998,7197676,püree pirni-vaarika-banaani muuti 0.11kg,SH-5-6-23,1.59,,"
"
1999,7096823,püree pirni põnn ökoloogiline 4k 0.1kg,SH-5-6-23,1.59,,"
"
2000,7206609,püree banaani-virsiku-mango muuti 0.11kg,SH-5-6-23,1.59,,"
"
2001,7206608,püree puuvilja-riisivalguga muuti 0.11kg,SH-5-6-23,1.59,,"
"
2002,811987,püree i love eco spaghetti 6k 0.12kg,SH-5-6-17,1.59,,"
"
2003,811986,püree i love eco juurv.lõhe 6k 0.12kg,SH-5-6-17,1.59,,"
"
2004,811984,püree i love eco lasanje 6k 0.12kg,SH-5-6-17,1.59,,"
"
2005,811983,püree i love eco lääts.köög 6k 0.12kg,SH-5-6-17,1.59,,"
"
2006,7197675,püree banaani-õuna-mustika muuti 6k 0.11kg,SH-5-6-23,1.59,,"
"
2007,7104662,kaera-riisipuder puuviljadega 6k 0.12kg,SH-5-6-17,1.59,,"
"
2008,811982,püree i love eco köögiv.kana 6k 0.12kg,SH-5-6-17,1.59,,"
"
2009,155667,tortiljakrõpsud soolatud i love eco öko 0.125kg,SH-13-11-65,1.59,,"
"
2010,7176016,kaera-riisipuder semper ma.&ban 6k 0.12kg,SH-5-6-17,1.59,,"
"
2011,1367848,puding põnn riis-pirn-must öko 4k 0.13kg,SH-5-6-17,1.59,,"
"
2012,7104663,kaera-riisipuder pirn-aprikoos 6k 0.12kg,SH-5-6-17,1.59,,"
"
2013,975634,põrandaleib seemnetega must fazer 0.39kg,SH-6-3-15,1.59,,"
"
2014,1350582,jäätee virsikumaitseline lipton 1.5l,SH-3-5,1.59,,"
"
2015,1353689,jäätee rohelise tee maits lipton 1.5l pet,SH-3-5,1.59,,"
"
2016,1001461,kartulikrõpsud kukeseenemaits lay's ob 0.125kg,SH-9-8-15,1.59,2.39,"regular
"
2017,972269,piim 1.8% tere 1.5l,SH-11-8-37,1.59,,"
"
2018,1001786,kakaoga valgubatoon 0.04kg,SH-13-16,1.59,,"
"
2019,194170,kartulikrõps jogurti-ürdi mait lay's ob 0.125kg,SH-9-8-15,1.59,2.39,"regular
"
2020,810817,oaidud ica asia 0.41kg 0.215kg,SH-13-11-69,1.59,,"
"
2021,960654,pestomajonees felix 0.22kg,SH-11-6-28,1.59,,"
"
2022,1366922,õlu saare taar 4.2% 0.5l purk,SH-1-6,1.59,,"
"
2023,812380,karri i love eco 0.031kg,SH-13-12-73,1.59,1.99,"regular
"
2024,968490,vorst juustu viilutatud rakvere 0.19kg,SH-8-4,1.59,,"
"
2025,297796,küüslauk kg eesti,SH-12-1-6,1.6,,"
"
2026,266415,roheline sibul pakitud kg,SH-12-3,1.6,,"
"
2027,200316,sulatatud juust merevaik 0.2kg,SH-11-3-15,1.62,,"
"
2028,155670,pastakaste basiilikuga i love eco 0.39kg,SH-13-16-20,1.65,,"
"
2029,106728,suhkruasendaja vedel huxol 0.2l,SH-13-13-85,1.65,,"
"
2030,182919,pasta harissa 0.07kg,SH-13-11-69,1.65,,"
"
2031,100284,kartulimaitseaine santa maria 0.055kg,SH-13-12-73,1.65,,"
"
2032,160100,aroomisool santa maria 0.074kg,SH-13-12-78,1.65,,"
"
2033,172944,tom kha supisegu santa maria 0.03kg,SH-13-11-72,1.65,,"
"
2034,803613,sushiriis rimi planet 0.5kg,SH-13-15-90,1.65,,"
"
2035,811018,tumeda šokolaadi nööbid rimi 0.1kg,SH-13-13-81,1.65,,"
"
2036,954208,snack sticks traditional 0.085kg,SH-8-15,1.65,,"
"
2037,804449,tee roheline piparmündi rimi 0kg,SH-13-17-97,1.65,,"
"
2038,804445,tee must earl grey rimi 0kg,SH-13-17-95,1.65,,"
"
2039,132579,odrahelbed veski mati 0.5kg,SH-13-2-12,1.65,,"
"
2040,126496,manna tartu mill 1kg,SH-13-18-101,1.65,,"
"
2041,111172,kiirkaerahelbed veski mati 0.5kg,SH-13-2-9,1.65,,"
"
2042,100575,kaneel jahvatatud santa maria 0.04kg,SH-13-13-81,1.65,,"
"
2043,186211,supisegu tom yum aroy-d 0.05kg,SH-13-11-72,1.65,,"
"
2044,160571,tee roheline tsitruse lipton 25pk,SH-13-17-97,1.65,2.25,"loyalty
"
2045,129129,persillade santa maria 0.048kg,SH-13-12-76,1.65,,"
"
2046,1002656,kirsstomatid jõhvikamar mõisaproua 530 0.29kg,SH-13-10-63,1.65,,"
"
2047,811017,valge šokolaadi nööbid rimi 0.1kg,SH-13-13-81,1.65,,"
"
2048,812040,popkorn ica 0.5kg,SH-9-8-19,1.65,,"
"
2049,993789,kodujuust rukola-karulaugu alma lakt.v 0.2kg,SH-11-4-20,1.65,,"
"
2050,814087,koeramaius nutribalance pro mini sticks 0.06kg,SH-7-2-5,1.65,,"
"
2051,814086,koeramaius nutribalance pro soft mix 0.06kg,SH-7-2-5,1.65,,"
"
2052,814083,kassimaius nutribalance pro mini sticks 0.05kg,SH-7-1-2,1.65,,"
"
2053,814082,kassimaius lõhega nutribalance pro asc 0.04kg,SH-7-1-2,1.65,,"
"
2054,1008884,söögisooda lombardi 0.5kg,SH-13-13-83,1.65,,"
"
2055,940436,mahejogurt banaani-pirni dobilas 0.3kg,SH-11-2-5,1.65,,"
"
2056,1370677,karbon.mineraalvesi peter mikheim 1l pet,SH-3-12-8,1.65,,"
"
2057,986935,juustuvorst m&m 0.3kg,SH-8-4,1.65,,"
"
2058,7103760,õhuvärskendaja wb pure steel,SH-15-2-11,1.65,,"
"
2059,1369851,karb.karas.jook ananassi pandy mag.ain 0.33l,SH-3-10,1.65,,"
"
2060,813527,suurkalmaari rimi tükid soolvees 0.106kg,SH-8-3-4,1.65,,"
"
2061,191170,kurkum jahvatatud santa maria 0.035kg,SH-13-12-76,1.65,,"
"
2062,195098,kartulipuder saiakuubikute&sibulaga maggi 0.059kg,SH-13-8-40,1.65,,"
"
