,id,nimi,kategooria,hind,vana_hind,soodus
1258,1370655,Energiajook Dynam,SH-3-4,1.19,,"
"
1292,137947,Riis pikateraline Baltix 4x100g,SH-13-15-91,1.19,,"
"
1291,160676,Kirsijook Aura 1l,SH-3-8-2,1.19,,"
"
1290,174842,Chili con carne maitseainesegu S.M.  28g,SH-13-11-68,1.19,,"
"
1288,101224,Apelsinimahl Aura 1l,SH-3-8-1,1.19,,"
"
1287,811800,Sidrunimahl kontsentraadist ICA 200ml,SH-13-19-105,1.19,,"
"
1286,1358837,"Apelsinimahl konts.mahlast Granini 0,25l",SH-3-8-1,1.19,,"
"
1285,174893,Fajita maitseainesegu Santa Maria 28g,SH-13-11-68,1.19,,"
"
1284,177284,Proteiinibatoon šokolaadi Puls Bite 35g,SH-13-16,1.19,,"
"
1283,177285,Proteiinibatoon juustukoogi Puls Bite 35g,SH-13-16,1.19,,"
"
1282,193473,Proteiinibatoon maapähklivõi Puls Bite 35g,SH-13-16,1.19,,"
"
1281,805135,Tatar Rimi Basic 4 x 100g,SH-13-18-102,1.19,,"
"
1280,808792,Manna Rimi 800g,SH-13-18-101,1.19,,"
"
1289,146805,Hematogeen Vita+ 50g,SH-13-1-8,1.19,,"
"
1278,806874,Pasta täistera Spaghetti Rimi GreatLife 500g,SH-13-14-87,1.19,,"
"
1277,806916,Makaronid täist. Spirali Rimi GreatLife 500g,SH-13-14-87,1.19,,"
"
1276,109841,Mandlimaiustused Ferrero Raffaello 40g,SH-9-6-7,1.19,,"
"
1274,1004100,Maisikepikesed vanillimaitselised Mõngel 100g,SH-9-8-17,1.19,,"
"
1262,1371456,"Õlu Saku on Ice 5%vol 0,33l purk",SH-1-6,1.19,,"
"
1273,972572,Prot.puding valge šoko-pähk ProFeel 150g,SH-11-2-2,1.19,,"
"
1272,986948,Lemmikvorst M&M 300g,SH-8-4,1.19,,"
"
1271,988566,Jogurt müsli ja šokolaadiküps. Alma lv 150g,SH-11-2-5,1.19,,"
"
1270,988580,Jogurtijook kreeka mustika-kirsi Alma 275g,SH-11-2-6,1.19,,"
"
1269,1008764,Vormiküpsised jõhvikamaitselised Selga 180g,SH-9-5-5,1.19,,"
"
1279,806873,Makaronid täistera Penne Rigate Rimi 500g,SH-13-14-87,1.19,,"
"
1268,992930,Hapukoor Tere 20% tuubis 250g,SH-11-5-22,1.19,,"
"
1267,126778,Söögisool jäme LSTK Cook 1kg,SH-13-12-77,1.19,,"
"
1263,994003,Proteiinipuding Valio PROfeel toffee 150g,SH-11-2-2,1.19,,"
"
1366,275290,Kurk Luunja kg,SH-12-2-11,1.2,,"
"
1367,104716,Mais magus Bonduelle 170g,SH-13-10-52,1.2,,"
"
1369,811810,Soolaheeringafilee õlis Rimi Basic 240g,SH-8-16-20,1.23,,"
"
