,id,nimi,kategooria,hind,vana_hind,soodus
0,653703,Tuletikud Rimi,10-54-105,0.08,,"
"
8,277122,Mitmeviljakukkel 35g,SH-6-6,0.18,,"
"
10,124854,Pulgakomm Fazer Muumi 8g,SH-9-6-11,0.19,,"
"
11,808709,Kohvijook lahustuv 3in1 Rimi 18g,SH-13-9-47,0.19,,"
"
12,267403,Presspärm Nordic 50g,SH-13-13-83,0.19,,"
"
14,156466,Kohvijook Jacobs 3in1 mixes 15.2g,SH-13-9-47,0.22,,"
"
17,812163,Toiduželatiin Rimi Basic 20g,SH-13-13-80,0.24,,"
"
18,193835,Kohvijook lahustuv 2in1 Nescafé 8g,SH-13-9-47,0.25,,"
"
20,193837,"Kohv lahustuv 3in1 Nescafé Classic 16,5g",SH-13-9-47,0.25,,"
"
21,193845,"Kohv lahustuv 3in1 pruun suhkur Nescafe 16,5g",SH-13-9-47,0.25,,"
"
22,257086,Kohupiimadessert gl. vanilli Jeppi 38g,SH-11-2-7,0.25,,"
"
23,194437,"Kakaojook Opti Start Nesquik 13,5 g",SH-13-5,0.25,,"
"
24,193844,Kohv lahustuv 3in1 strong Nescafé 17g,SH-13-9-47,0.25,,"
"
25,198508,"Kohvijook lahustuv karamel. Jacobs 3in1 16,9g",SH-13-9-47,0.26,,"
"
27,175906,"Kohvijook lahustuv Cafe Latte Jacobs 12,5g",SH-13-9-47,0.27,,"
"
26,172940,Kohvijook lahustuv 2in1 Jacobs 14g,SH-13-9-47,0.27,,"
"
33,101372,Närimiskommid Red Band Tutti Frutti 15g,SH-9-3-2,0.29,,"
"
36,812162,Sidrunhape Rimi Basic 30g,SH-13-13-81,0.3,,"
"
38,811931,Kanalihamaitselised kiirnuudlid Rimi Basic 50,SH-13-8-39,0.31,,"
"
39,812182,Veiseliham. kiirnuudlid Rimi Basic 50g,SH-13-8-39,0.31,,"
"
40,814058,Kuivpärm Rimi Basic 12g,SH-13-13-83,0.31,,"
"
43,163121,Mesi Korio 25g,SH-13-10-53,0.32,,"
"
46,211266,Punane sibul kg,SH-12-1-6,0.33,,"
"
49,812161,Vanilliinsuhkur Rimi Basic 35g,SH-13-13-81,0.34,,"
"
50,113612,"Nätsukomm erinevad maitsed Mamba 26,5g",SH-9-3-2,0.35,,"
"
51,269082,Kohuke vanilli Karums 45g,SH-11-2-7,0.35,0.45,"regular
"
52,1358802,"Allikavesi karboniseerimata Rimi Kids 0,5l",SH-3-12-8,0.35,,"
"
53,1358811,"Allikavesi karboniseeritud Rimi 0,5l",SH-3-12-8,0.35,,"
"
54,1358820,"Allikavesi karboniseerimata Rimi 0,5l",SH-3-12-8,0.35,,"
"
55,811966,Küpsised Rimi Basic Klassik 155g,SH-9-5-5,0.35,,"
"
57,812160,Jahvatatud must pipar Rimi Basic 15g,SH-13-12-75,0.36,,"
"
58,811936,Köögiviljamaitselised kiirnuudlid Rimi Basic,SH-13-8-39,0.37,,"
"
59,811346,Kohuke küpsiste ja želeetükkidega Rimi 38g,SH-11-2-7,0.37,,"
"
60,811336,Kohuke karamelliglasuuriga Rimi 38g,SH-11-2-7,0.37,,"
"
79,805782,Kassisööt Purrrfect linnul. tükid kastm. 100g,SH-7-1-1,0.39,,"
"
78,812378,Mahlajook Rimi multipuuvilja 200ml,SH-3-8-2,0.39,,"
"
77,269083,Kohuke šokolaadi Karums 45g,SH-11-2-7,0.39,0.49,"regular
"
76,257082,Kakaodessert gl. šokolaadi Jeppi 38g,SH-11-2-7,0.39,,"
"
75,269085,Kohuke karamelli Karums 45g,SH-11-2-7,0.39,0.49,"regular
"
74,812372,"Mahlajook Rimi apelsini,banaani,virsiku 200ml",SH-3-8-2,0.39,,"
"
72,257084,Kohupiimadessert gl. vaarika Jeppi 38g,SH-11-2-7,0.39,,"
"
71,949418,Kohupiimadessert valge gl. Jeppi 38g,SH-11-2-7,0.39,,"
"
70,811957,Kiirsupp Rimi Express kana ja nuudlitega 14g,SH-13-8-41,0.39,,"
"
73,128630,Kummikommid Red Band Tutti Frutti Hearts 15g,SH-9-3-2,0.39,,"
"
68,1350162,"Joogivesi Saaremaa 0,5l",SH-3-12-8,0.39,,"
"
69,811953,Tomati-kiirsupp Rimi Express nuudlitega 21g,SH-13-8-41,0.39,,"
"
62,269071,Kohuke kookose Karums 45g,SH-11-2-7,0.39,0.54,"regular
"
63,987102,Kohuke maasika Karums 45g,SH-11-2-7,0.39,0.51,"regular
"
64,196749,"Maasikajook Limpa 0,25l",SH-3-8-2,0.39,,"
"
61,101375,Vahvlibatoon Fazer Suffeli 21g,SH-9-9-21,0.39,,"
"
66,1003246,Kohvijook lahustuv cappuccino Nescafe 15g,SH-13-9-47,0.39,,"
"
67,812371,"Mahlajook Rimi virsiku ja viinamarja 0,2l",SH-3-8-2,0.39,,"
"
65,812630,Õunamahlajook Rimi 200ml,SH-3-8-2,0.39,,"
"
87,804290,Tee ürdi kummeli Rimi Basic 20g,SH-13-17-98,0.41,,"
"
88,162138,Nätsukommid hapu õuna Chewits Xtreme 30g,SH-9-3-2,0.41,,"
"
89,100973,Nätsukommid maasikamaitselised Chewits 29g,SH-9-3-2,0.41,,"
"
90,809242,Karamellid münt Rimi Basic 100g,SH-9-3-3,0.41,,"
"
91,937834,Mangokohuke Karums 45g,SH-11-2-7,0.42,0.54,"regular
"
94,811315,Rohelised oliivid Rimi Basic kivid. 180g/70g,SH-13-10-56,0.43,,"
"
92,812875,Kohvikoor Rimi Basic 10% 200ml,SH-11-5-24,0.43,,"
"
93,804228,Makaron Knees-sarveke Rimi Basic 400g,SH-13-14-20,0.43,,"
"
95,995341,Mini lihapirukas Cannelle 20g,SH-6-6,0.43,,"
"
97,1350294,"Vesi gaasiga Saaremaa 0,5l",SH-3-12-8,0.44,,"
"
96,147406,Lahustuv pärm Dr.Oetker 7g,SH-13-13-83,0.44,,"
"
98,138796,Kartulipuder või ja tilliga 5 min. Maggi 35g,SH-13-8-40,0.45,,"
"
99,196738,"Multijook Limpa 0,25l",SH-3-8-2,0.45,,"
"
100,138797,Kartulipuder rõõsakoorega 5 min. Maggi 35g,SH-13-8-40,0.45,,"
"
102,299322,Dessert Zottis vanilje Zott 115g,SH-11-2-2,0.45,,"
"
103,299158,Dessert Zottis šhokolaadi Zott 115g,SH-11-2-2,0.45,,"
"
104,812164,Must pipar Rimi Basic 20g,SH-13-12-75,0.45,,"
"
105,150324,Vahukoore tardaine Dr.Oetker 9g,SH-13-13-79,0.45,,"
"
106,276039,"Kartul pesemata, kg Eesti",SH-12-1-1,0.45,,"
"
110,167976,Müslibatoon maasika ja jogurti Herkuless 25g,SH-13-3-17,0.46,,"
"
111,805807,"Kassisööt Purrrfect loomalihaga,linnulih,100g",SH-7-1-1,0.47,,"
"
112,805808,Kassisööt Purrrfect kala lihaga 100g,SH-7-1-1,0.47,,"
"
113,805800,Kassisööt Purrrfect loomalihaga 100g,SH-7-1-1,0.47,,"
"
117,805798,Müslibatoon banaani piimašokololaadi Rimi 30g,SH-13-3-17,0.48,,"
"
119,805779,Müslibatoon metsamarja jogurti Rimi 30g,SH-13-3-17,0.48,,"
"
116,210112,"Tšillipipar punane 1kl, kg",SH-12-2-13,0.48,,"
"
118,805781,Müslibatoon jõhvika-vaarika jogurti Rimi 30g,SH-13-3-17,0.48,,"
"
134,198832,Müslibatoon jogurti&troopili. puuvil. Axa 25g,SH-13-3-17,0.49,,"
"
120,290810,Kaneelirull 65g Rimi pagaritelt,SH-6-6,0.49,,"
"
121,136947,"Jook maasika-õuna-virsiku 0,2l Tymbark",SH-3-8-2,0.49,,"
"
125,804289,"Tee ürdi piparmündi Rimi Basic 20x1,5g",SH-13-17-98,0.49,,"
"
127,165545,"Jook õuna-virsiku Tymbark Frozen 0,2l",SH-3-8-2,0.49,,"
"
128,804229,Makaronid nuudlid Rimi Basic 400g,SH-13-14-20,0.49,,"
"
129,101019,Piimašokolaad Kinder Country 24g,SH-9-9-21,0.49,,"
"
130,934294,Kohuke laktoosivaba vanilli Saare 40g,SH-11-2-7,0.49,,"
"
132,298217,Koorene kohuke toffe Saare 40g,SH-11-2-7,0.49,,"
"
136,276888,Rukki-riisipirukas 65g,SH-6-6,0.49,,"
"
141,200133,Kohuke Classic Tere 43g,SH-11-2-7,0.5,,"
"
140,811952,"Kiirsupp Rimi Express kana, krutoonidega 16g",SH-13-8-41,0.5,,"
"
138,149478,Vanillisuhkur Dr.Oetker 16 g,SH-13-13-81,0.5,,"
"
137,148171,Vahvel piima-pähklikreemiga Knoppers 25g,SH-9-10,0.5,,"
"
139,811951,"Kiirsupp Rimi Express seente,krutoon. 16g",SH-13-8-41,0.5,,"
"
146,1358780,"Allikavesi karboniseerimata Rimi 0,75l",SH-3-12-8,0.51,,"
"
147,102860,Šokolaadibatoon Daim 28g,SH-9-9-21,0.51,,"
"
148,194335,Kiirsupp herne ja krutoonidega Maggi 22g,SH-13-8-41,0.51,,"
"
149,193468,Kiirkanasupp nuudlitega 5min Maggi 12g,SH-13-8-41,0.51,,"
"
157,168212,Jook vaarika-mustika Drako 200ml,SH-3-8-2,0.52,,"
"
156,164832,Jook maasika-õuna Drako 200ml,SH-3-8-2,0.52,,"
"
155,164843,Jook pirni-õuna Drako 200ml,SH-3-8-2,0.52,,"
"
153,107728,Jook apelsini-õuna Põltsamaa 200ml,SH-3-8-2,0.52,,"
"
152,119550,Mahlajook multi Põltsamaa 200ml,SH-3-8-2,0.52,,"
"
150,290795,Kreemisai Rimi pagaritelt 50g,SH-6-6,0.52,,"
"
154,101280,Jook õuna Põltsamaa 200ml,SH-3-8-2,0.52,,"
"
167,911229,Tarretis kirsi Jänks 150g,SH-11-2-2,0.53,,"
"
169,974084,Tarretis tutti-frutti Jänks 150g,SH-11-2-2,0.53,,"
"
168,811873,"Koerasööt Nutribalance veise,küülik.100g",SH-7-2-4,0.53,,"
"
166,200130,Kohuke jõhvikamoosiga Tere 43g,SH-11-2-7,0.53,,"
"
159,813829,Seajalad jahutatud Rimi kg,SH-8-14-25,0.53,,"
"
164,202729,Kohuke mustikamoosiga Tere 43g,SH-11-2-7,0.53,,"
"
163,1350165,"Vesi gaasiga Saaremaa 1,5l",SH-3-12-8,0.53,,"
"
162,811874,Koerasööt Nutribalance kalkunilih. 100g,SH-7-2-4,0.53,,"
"
165,267828,Kohuke juustukoogi Tere 43g,SH-11-2-7,0.53,,"
"
171,215172,Redis kg,SH-12-1-5,0.54,,"
"
170,269157,Sidrunikohuke Karums 45g,SH-11-2-7,0.54,,"
"
187,994740,"Kohuke küpsise 22,6% Magija 45g",SH-11-2-7,0.55,,"
"
188,812823,Riisivahvlid Rimi tom. basiilikuga 25g,SH-13-1-2,0.55,,"
"
186,988376,Biskviitmaius kirsitäidisega Fantasia 27g,SH-11-2-7,0.55,0.69,"regular
"
189,812824,Riisivahvlid Rimi juustuga 25g,SH-13-1-2,0.55,,"
"
185,200267,Kohvikoor Alma 10% 200ml,SH-11-5-24,0.55,,"
"
191,1364648,"Mineraalvesi Rimi karboniseeritud 0,5l",SH-3-12-8,0.55,,"
"
192,200640,Redis tuutu 125g,SH-12-1-5,0.55,0.69,"regular
"
193,994731,Kohuke maapähkl-karamell 28% Magija 45g,SH-11-2-7,0.55,,"
"
190,276076,"Porgand, kg Eesti",SH-12-1-4,0.55,,"
"
184,123465,"Šokolaad Milky Way 21,5g",SH-9-9-21,0.55,,"
"
178,1358793,"Allikavesi karboniseeritud Rimi 1,5l",SH-3-12-8,0.55,,"
"
182,988375,Biskviitmaius karamellitäidisega Fantasia 27g,SH-11-2-7,0.55,0.69,"regular
"
181,1350492,"Vesi gaasita Aura Spring 0,5l",SH-3-12-8,0.55,,"
"
180,1364660,"Mineraalvesi Rimi karboniseerimata 0,5l",SH-3-12-8,0.55,,"
"
183,1011149,Tordikaunistused Dr. Oetker hõbepärlid 10g,SH-13-13-82,0.55,,"
"
176,1354183,"Vesi karbonis. sidrunim Vichy Classique 0,5l",SH-3-12-9,0.55,,"
"
175,1358810,"Allikavesi karboniseerimata Rimi 1,5l",SH-3-12-8,0.55,,"
"
174,805780,Müslibatoon šokolaadi Rimi 30g,SH-13-3-17,0.55,,"
"
173,812078,"Hibiskiõietee Rimi Basic 20 x 1,5g",SH-13-17-98,0.55,,"
"
172,122348,Vilekomm maasikamaitseline Chupa Chups 15g,SH-9-6-11,0.55,,"
"
194,914488,Kohuke vanilli ja Belgia šokol. Aasa 40g,SH-11-2-7,0.56,,"
"
195,139984,Mahlajää limon-guanabamaits Limpa 70g,SH-4-1-5,0.56,,"
"
196,149477,Küpsetuspulber Dr.Oetker 30g,SH-13-13-83,0.56,,"
"
197,927544,Kohuke šokol.tükkidega Aasa 40g,SH-11-2-7,0.56,,"
"
198,268815,"Ploomtomat 1kl, kg",SH-12-2-14,0.56,,"
"
199,947656,Mini maasikasõõrik sulatatud 23g,SH-6-6,0.56,,"
"
202,268137,Hea Sai Eesti Pagar 300g,SH-6-7-22,0.57,,"
"
201,1350301,"Vesi gaasiga Spring Aura 0,5l pet",SH-3-12-8,0.57,,"
"
200,162902,Nätsukommid Rainbow Fruittella 41g,SH-9-3-2,0.57,,"
"
235,921522,Piparkoogikohuke glasuuriga Jänks 52g,SH-11-2-7,0.59,,"
"
234,1004269,Maisihelbebatoon gluteenivaba Nestle 22g,SH-13-3-17,0.59,,"
"
232,123355,Hommikueine batoon Nestle Choapic 25g,SH-13-3-17,0.59,,"
"
231,804149,Vormiküpsised kondenspiimaga Rimi Basic 160g,SH-9-5-5,0.59,,"
"
230,196298,Piimašokolaad erinevad valikud Kalev 20g,SH-9-3-1,0.59,,"
"
229,165575,Seenesupp krutoonidega Maggi 16g,SH-13-8-41,0.59,,"
"
228,123354,Batoon Nesquik Nestle 25g,SH-13-3-17,0.59,,"
"
227,123356,Batoon Cini Minis Nestle 25g,SH-13-3-17,0.59,,"
"
226,103170,Tomatipasta Pomi 200g,SH-13-6-31,0.59,,"
"
236,804358,Kuivatatud dattel kivita Awake 150g,SH-9-4-11,0.59,0.89,"loyalty
"
225,947460,Mahlajää apel-pirn-mango 65ml/65g,SH-4-1-5,0.59,,"
"
224,140055,Kiirsupp kanapüree saiakuubikutega Maggi 16g,SH-13-8-41,0.59,,"
"
223,140057,Kiirsupp punapeedi saiakuub. Maggi 16g,SH-13-8-41,0.59,,"
"
222,140089,Kiirsupp šampinjoni saiakuubikutega Maggi 15g,SH-13-8-41,0.59,,"
"
221,152614,Juustusupp saiakuubikutega Maggi 19g,SH-13-8-41,0.59,,"
"
214,7002951,Kiisueine Gourmet Perle uluki-aedvilja 85g,SH-7-1-1,0.59,0.88,"regular
"
218,269163,"Õun Paula Idared 1kl, kg",SH-12-5-27,0.59,,"
"
204,980909,Kohupiimakr. metsmaas.kissell Alma 140g,SH-11-4-21,0.59,0.85,"loyalty
"
205,980925,Kohupiimakr. metsamarjakissell Alma 140g,SH-11-4-21,0.59,0.85,"loyalty
"
220,802499,Joogijogurt maasika Rimi 100g,SH-11-2-4,0.59,,"
"
207,804391,Maapähkel röst. ja soolatud  Awake 150g,SH-9-4-14,0.59,0.85,"loyalty
"
208,994300,Kohupiimakreem rabarberikisselliga Alma 140g,SH-11-4-21,0.59,0.85,"loyalty
"
209,995428,Seenepirukas Eesti Sai 80g,SH-6-6,0.59,,"
"
206,995250,Klassik. sõõrik tumeda glas. Eesti Pagar 52g,SH-6-6,0.59,,"
"
212,1371565,"Alkoholivaba õlu Beerville 0,5l",SH-3-1,0.59,0.61,"regular
"
213,7002952,Kiisueine Gourmet Perle forelli-spi. 85g,SH-7-1-1,0.59,0.88,"regular
"
215,7002950,Kiisueine Gourmet Perle kana 85g,SH-7-1-1,0.59,0.88,"regular
"
216,274188,Puding Monte šokolaadi Zott 55g,SH-11-2-2,0.59,,"
"
217,278770,"Sibul, 50/70 mm, kg",SH-12-1-6,0.59,,"
"
210,290741,Võiroos Rimi pagaritelt 70g,SH-6-6,0.59,,"
"
237,804285,Tee roheline Rimi Basic 80g,SH-13-17-97,0.6,,"
"
238,1350164,"Joogivesi Saaremaa 1,5l",SH-3-12-8,0.6,,"
"
239,804745,Tulemasin Rimi,10-54-105,0.6,,"
"
240,811930,Peekonimaitselised kiirnuudlid Rimi Basic 50g,SH-13-8-39,0.6,,"
"
241,121888,Biskviitmaiustus Kinder Pingui 30g,SH-11-2-7,0.61,,"
"
242,988595,Kohuke vaarika Aasa 40g,SH-11-2-7,0.62,,"
"
251,995333,Kirsitäidis. kohupiimapall Cannelle 35g,SH-6-6,0.63,,"
"
248,7050955,Tuletikud Rimi XL 100tk 55mm,10-54-105,0.63,,"
"
250,947475,"Moosipall, sulatatud 60g",SH-6-6,0.63,,"
"
246,266894,"Tomat 1kl, kg",SH-12-2-14,0.63,,"
"
244,809209,Karamellid homaarid Rimi Basic 100g,SH-9-3-3,0.63,,"
"
247,211196,"Apelsin Navelina 1kl, kg",SH-12-5-29,0.63,,"
"
252,173465,Müslibatoon jõhvika-vaarika Sante Crunchy 40g,SH-13-3-17,0.64,,"
"
253,1001870,Müslibatoon mee-kaera Sante Granola 40g,SH-13-3-17,0.64,,"
"
254,1001865,Müslibatoon ban. šok. Sante Crunchy 40g,SH-13-3-17,0.64,,"
"
255,1001859,Müslibatoon šok. kaera Sante Granola 40g,SH-13-3-17,0.64,,"
"
256,173474,Müslibatoon ploomi Crunchy Sante 40g,SH-13-3-17,0.64,,"
"
271,7255789,Kiisueine Felix Fantastic lõhe 85g,SH-7-1-1,0.65,,"
"
272,173164,Batoon küpsise&marmelaadi Kirju Koer 36g,SH-9-9-21,0.65,,"
"
273,7255790,Kiisueine Felix kalkun/peekon 85g,SH-7-1-1,0.65,,"
"
274,7255776,Kiisueine Felix part/spinat tarrend. 85g,SH-7-1-1,0.65,,"
"
278,121640,Närimiskumm White Spearmint Orbit 14g,SH-9-3-5,0.65,,"
"
276,1359627,"Mineraalvesi karboniseerimata Neptunas 0,5l",SH-3-12-8,0.65,,"
"
277,7255802,Kiisueine Felix Fantastic küülik 85g,SH-7-1-1,0.65,,"
"
270,1358978,"Karbon.kar.jook Njoy sidruni-maasika 0,33l",SH-3-7,0.65,,"
"
275,1358982,"Karbon.kar.jook Njoy sidruni-laimi 0,33l",SH-3-7,0.65,,"
"
269,163652,Maisipallid iirisega Mesikäpp Mõnus Maius 25g,SH-9-3-3,0.65,,"
"
279,7255800,Kiisueine Felix lõhe/kreveti 85g,SH-7-1-1,0.65,,"
"
266,975226,Portugali sai Pastel de Nata 66g,SH-6-6,0.65,,"
"
267,958603,Jogurt tuubis maasika Smile 65g,SH-11-2-5,0.65,,"
"
258,277285,Litši kg,SH-12-5-28,0.65,,"
"
259,812297,Kons.valg.oad Rimi Basic tomatikast.400g,SH-13-10-50,0.65,,"
"
260,163821,Piimašokolaad Kalev Anneke 20g,SH-9-9-21,0.65,,"
"
257,136901,Vormiküpsised Kalev 163g,SH-9-5-5,0.65,0.95,"loyalty
"
262,7255778,Kiisueine Felix kassipoegadele kana 85g,SH-7-1-1,0.65,,"
"
263,7255779,Kiisueine Felix Fantastic kalkun 85g,SH-7-1-1,0.65,,"
"
264,7255787,Kiisueine Felix Fantastic kana 85g,SH-7-1-1,0.65,,"
"
265,7255788,Kiisueine Felix porgand/kana tarren. 85g,SH-7-1-1,0.65,,"
"
261,7255777,Kiisueine Felix veisel./tomat tarre. 85g,SH-7-1-1,0.65,,"
"
280,101364,Koorekompvekid Werthers Originaal 50g,SH-9-3-2,0.66,,"
"
281,102306,Närimiskumm Spearmint Orbit 14g,SH-9-3-5,0.66,,"
"
283,995351,Väike marjatäid.berliner La Lorraine 25g,SH-6-6,0.66,,"
"
284,802408,Piimaš.sarapuupähklitükkidega Poesia100g,SH-9-9-20,0.67,,"
"
286,1006660,Guljašš pastaga Knorr 16g,SH-13-8-41,0.67,,"
"
287,1006648,Kõrvitsasupp läätsedega Knorr 22g,SH-13-8-41,0.67,,"
"
293,1000261,Vahvlibatoon B-ready Nutella 22g,SH-9-9-21,0.68,,"
"
291,261332,Dessert vanilje Liegeois Zott 175g,SH-11-2-2,0.68,,"
"
292,944437,Vanillimaitseline kreemisaiake 88g,SH-6-6,0.68,,"
"
289,162632,Juustusupp Knorr 22g,SH-13-8-41,0.68,,"
"
290,262150,Dessert maasika Liegeois Zott 175g,SH-11-2-2,0.68,,"
"
330,152442,Šokolaadibatoon Fazer Geisha 37g,SH-9-9-21,0.69,,"
"
331,139415,"Batoon Nestle Fitness Chocolate 23,5g",SH-13-3-17,0.69,,"
"
332,103156,Närimiskumm Sweetmint Orbit suhkruvaba 14g,SH-9-3-5,0.69,,"
"
333,185575,"Batoon Nestle Fitness Red Berries 23,5g",SH-13-3-17,0.69,,"
"
334,1351880,"Soodavesi 0,33l",SH-3-12-8,0.69,,"
"
335,811466,Kivisool jämedateraline Rimi Basic 1kg,SH-13-12-77,0.69,,"
"
336,202762,"Piim Alma 2,5% 500ml",SH-11-8-37,0.69,,"
"
337,1366371,"Õlu A. Le Coq Premium 4,7%vol 0,33l purk",SH-1-6,0.69,,"
"
338,946370,Kohuke mooniseemnetega Aasa 40g,SH-11-2-7,0.69,,"
"
340,261321,Dessert šokolaadi Zott 175g,SH-11-2-2,0.69,,"
"
341,914487,Kohuke mustika ja Belgia šokol. Aasa 40g,SH-11-2-7,0.69,,"
"
343,1359644,"Mineraalvesi karboniseeritud Neptunas 0,5l",SH-3-12-8,0.69,,"
"
344,954281,BO Singi-juustupirukas pärmitaig. 80g,SH-6-6,0.69,,"
"
345,261595,Jäätis šokol. gl. pähkl. Väike Tom 60g,SH-4-1-9,0.69,0.89,"loyalty
"
348,1007305,Kaerahelbepuder Healthy Skin Nesvita 35g,SH-13-2-12,0.69,,"
"
349,1007304,Kaerahelbepuder Digestion Nesvita 35g,SH-13-2-12,0.69,,"
"
329,121040,Närimiskumm arbuusi Orbit suhkruvaba 14g,SH-9-3-5,0.69,,"
"
339,946371,Kohuke kookosega Aasa 40g,SH-11-2-7,0.69,,"
"
328,810934,Söögiäädikas Rimi Basic 30% 330ml,SH-13-19-104,0.69,,"
"
347,992856,Kohupiim ricotta Piimameister Otto 200g,SH-11-4-21,0.69,,"
"
324,1002272,"Batoon Nestle Fitness Honey Almonds 23,5g",SH-13-3-17,0.69,,"
"
294,261558,Biskviitmaius Kinder Pingui Coconut 31g,SH-11-2-7,0.69,,"
"
302,136902,Vormiküpsised vanilli Kalev 163g,SH-9-5-5,0.69,0.99,"loyalty
"
303,136900,Vormiküpsised sidruni Kalev 163g,SH-9-5-5,0.69,0.99,"loyalty
"
304,136898,Vormiküpsised rosina Kalev 163g,SH-9-5-5,0.69,0.99,"loyalty
"
305,201162,Jäätis vanilli Väike Tom 60g/90ml,SH-4-1-9,0.69,0.89,"loyalty
"
306,276593,Ingver kg,SH-12-2-12,0.69,,"
"
309,296685,Sõõrik valge glasuuriga Mantinga 55g,SH-6-6,0.69,,"
"
310,812124,Kassisööt Nutribalance veiselihaga 85g,SH-7-1-1,0.69,,"
"
327,102747,Šokolaadimedal Kalev 15g,SH-9-9-21,0.69,,"
"
313,273253,Jäätis lehmakommi Väike Tom 60g,SH-4-1-9,0.69,0.89,"loyalty
"
316,810766,Kasside suupisted ICA kana maitsega 18 g,SH-7-1-2,0.69,,"
"
318,1367769,"Porgandinektar Rimi 0,33l",SH-3-8-3,0.69,,"
"
319,1367768,"Banaaninektar Rimi 0,33l",SH-3-8-3,0.69,,"
"
320,1367770,"Porgandi-õuna-virsikunektar Rimi 0,33l",SH-3-8-3,0.69,,"
"
321,1367772,"Porgandi-õuna-maasikanektar Rimi 0,33l",SH-3-8-3,0.69,,"
"
322,813128,Mikropopkorn soolane Rimi 90g,SH-9-8-19,0.69,0.92,"regular
"
323,813137,Mikropopkorn võimaitseline Rimi 90g,SH-9-8-19,0.69,0.92,"regular
"
311,810767,Kasside suupisted ICA lõhe maitsega 18 g,SH-7-1-2,0.69,,"
"
357,162637,Kanasupp nuudlitega Knorr 12g,SH-13-8-41,0.71,,"
"
356,162639,Kanapüreesupp Knorr 16g,SH-13-8-41,0.71,,"
"
355,162638,Püreesupp puraviku Knorr 15g,SH-13-8-41,0.71,,"
"
353,1007224,Kiirkaerapuder vaarikatega Activus 60g,SH-13-2-12,0.71,0.97,"loyalty
"
352,1007233,Kiirkaerapuder maasikatega Activus 60g,SH-13-2-12,0.71,0.97,"loyalty
"
351,1007223,Kiirtatrapuder kanaga Activus 60g,SH-13-2-12,0.71,0.97,"loyalty
"
354,804288,Tee puuvilja Rimi Basic 20x2g,SH-13-17-96,0.71,,"
"
369,7270682,Koerasööt lambaga C4P Premium 100g,SH-7-2-4,0.72,,"
"
375,1368070,"En.jook Burn Peach Zero magusainetega 0,33l",SH-3-4,0.72,,"
"
374,915806,Mahlapulk sidruni-laimi Twister 71g,SH-4-1-5,0.72,,"
"
373,182237,Piimašokolaad Oreo täidisega Milka 37g,SH-9-9-21,0.72,,"
"
371,7270676,Koerasööt kanaga Club 4Paws Premium 100g,SH-7-2-4,0.72,,"
"
370,1006777,Pastillid marjamaitselised Tic Tac 18g,SH-9-7,0.72,,"
"
368,276880,BO Kohupiimasaiake Eesti Pagar AS 70g,SH-6-6,0.72,,"
"
367,165255,Pastillid maasikamaitselised Tic Tac 18g,SH-9-7,0.72,,"
"
365,1366910,"Energiajook Burn Original 0,33l",SH-3-4,0.72,,"
"
364,165253,Pastillid mündimaitselised Tic Tac 18g,SH-9-7,0.72,,"
"
363,165254,Pastillid apelsinimaitselised Tic Tac 18g,SH-9-7,0.72,,"
"
362,100967,"Pastillid mee&sidruni Halls 33,5g",SH-9-7,0.72,,"
"
361,100909,Pastillid Extra Strong Halls 33.5g,SH-9-7,0.72,,"
"
360,162281,Meresool joodiga Droga peensool 500g,SH-13-12-77,0.72,,"
"
359,137329,"Pastillid laimimaitselised Halls 33,5g",SH-9-7,0.72,,"
"
366,901680,BO Liha-riisipirukas pärmitaignast 75g,SH-6-6,0.72,,"
"
376,177261,Kuldsed pärlid Dr.Oetker 10g,SH-13-13-82,0.73,,"
"
377,927922,Jõhvika-mannavaht 200g,SH-16-2,0.73,,"
"
378,1368328,"Alk.vaba jook Hartwall Original LD 0,33l",SH-3-2,0.73,,"
"
385,1364649,"Mineraalvesi Rimi karboniseeritud 1,5l",SH-3-12-8,0.74,,"
"
394,952676,"Täispiim Alma 3,8-4,2% 500ml",SH-11-8-37,0.74,,"
"
387,1360003,"Joogivesi karb-tud Rimi sidrunimaits. 1,5l",SH-3-12-9,0.74,,"
"
386,812136,"Kassisööt Nutribalance kana,kalkun. 85g",SH-7-1-1,0.74,,"
"
384,1364661,"Mineraalvesi Rimi karboniseerimata 1,5l",SH-3-12-8,0.74,,"
"
381,195829,Valge šokolaadi batoon Lion 2-pakk 60g,SH-9-9-21,0.74,,"
"
382,812123,Kassisööt Nutribalance lõhega 85g,SH-7-1-1,0.74,,"
"
380,812122,Kassisööt Nutribalance loomal.linnul.85g,SH-7-1-1,0.74,,"
"
379,812132,"Kassisööt Nutribalance lõhega,steril.85g",SH-7-1-1,0.74,,"
"
383,1360021,"Joogivesi pohlamaits. karbon. Rimi 1,5l",SH-3-12-9,0.74,,"
"
420,177825,Müslibatoon šokolaadi Nestle 35g,SH-13-3-17,0.75,,"
"
415,262695,Broilerikael külmutatud 400g,SH-4-4,0.75,,"
"
417,100958,"Pastillid Mentho Lyptus Halls 33,5g",SH-9-7,0.75,,"
"
418,141823,"Pastillid metsamarja Halls 33,5g",SH-9-7,0.75,,"
"
419,801702,4-viljahelbed Rimi 500g,SH-13-2-11,0.75,,"
"
421,164383,Kaerahelbed Tartu Mill 500g,SH-13-2-9,0.75,,"
"
414,281223,Pekaanipähklisaiake vahtrasiirupiga 91g,SH-6-6,0.75,,"
"
