,id,desc,category,price,old_price,discount_type
5167,7154627,Koerakonserv Animonda VomFein kalkun/lam 150g,SH-7-2-4,2.65,,"
"
5168,1006197,Kreekerid kinoa ja chia seemne. Gullon 250g,SH-9-5-6,2.65,,"
"
5169,978772,Põdra snäkk Linnamäe 85g,SH-8-15,2.65,,"
"
5170,979052,Lihaveise snäkk Linnamäe 85g,SH-8-15,2.65,,"
"
5144,1365583,"Toonik Fever Tree Indian Tonic Water 0,5l",SH-3-11,2.65,3.59,"loyalty
"
5157,813629,Segujahu speltaküpsised Rimi 250g,SH-13-4-18,2.65,,"
"
5142,807183,Mustad oliivid Rimi kivideta 935g/455g,SH-13-10-56,2.65,,"
"
5132,157995,Küüslaugupulber Santa Maria organic 25g,SH-13-12-76,2.65,,"
"
5138,811676,Herne- ja kaeraküpsised ICA 100g,SH-13-1-3,2.65,,"
"
5139,129976,Wasabi pasta S&B 43g,SH-13-11-66,2.65,,"
"
5110,203207,Eestimaine broilerikints kg Tallegg,SH-8-9-25,2.65,,"
"
5111,807162,Rohelised oliivid Rimi kivideta 935g/455g,SH-13-10-56,2.65,,"
"
5112,181621,Küüslaugupipar Santa Maria 70g,SH-13-12-75,2.65,,"
"
5116,947647,Ürdikartul 400g,SH-16-1,2.65,,"
"
5117,935398,Külmutatud Ehe pelmeenid 350g,SH-4-7-25,2.65,,"
"
5119,941065,Ahjukartul 350g,SH-16-1,2.65,,"
"
5120,141713,Mahe õunakaste I Love Eco 390g,SH-13-10-59,2.65,,"
"
5121,906944,Rannaküla Praetud räimed tomatikastmes 240g,SH-8-5-9,2.65,,"
"
5122,901162,Küpsetusmargariin Vilma 80% 500g,SH-11-9-39,2.65,,"
"
5123,298413,Peenleib Pärnamäed 800g,SH-6-3-14,2.65,,"
"
5124,100275,Värskekapsaborš lihata Salvest 530g,SH-13-10-58,2.65,,"
"
5118,937027,Tallegg kanaburgeri pihv 660g,SH-8-12-30,2.65,,"
"
5126,908728,Kitsepiimajuust Bettine 125g,SH-11-3-14,2.65,,"
"
5125,926641,Kitsepiimajuustu pärlid 100g,SH-11-3-14,2.65,,"
"
5137,137027,Šokolaadibatoon Snickers 4-pakk 200g,SH-9-9-21,2.65,,"
"
5136,164228,Šokolaadibatoon Twix 4-pakk 200g,SH-9-9-21,2.65,,"
"
5135,801505,Nisujahu 405d Rimi 2kg,SH-13-4-21,2.65,,"
"
5133,810477,Makaronid ubadest Fettuccine ICA GottLiv 200g,SH-13-14-21,2.65,,"
"
5134,801701,Tatrahelbed Rimi 500g,SH-13-2-14,2.65,,"
"
5130,811556,Datlid Rimi kakaoga 150g,SH-9-4-11,2.65,,"
"
5129,181641,Sidrunipipar Santa Maria 80g,SH-13-12-75,2.65,,"
"
5128,280800,Valgehallitusjuust Camembert pähklitega 120g,SH-11-3-12,2.65,,"
"
5127,285447,Turistieine Rannarootsi 240g,SH-8-6,2.65,,"
"
5131,811551,Datlid Rimi kookoshelvestega 150g,SH-9-4-11,2.65,,"
"
5279,1358682,Mahlajook õuna-arbuusi Tymbark magusainega 2l,SH-3-8-2,2.69,,"
"
5282,1002207,Punased sibulad marineeritud Põltsamaa 290g,SH-13-10-55,2.69,,"
"
5280,807930,Virsiku-õunamahl Selection by Rimi 1l,SH-3-8-1,2.69,,"
"
5281,135276,Mahlajook mitmev.porgandi Tymbark mag.ain.2l,SH-3-8-2,2.69,,"
"
5284,179414,Tee roheline goji&mustika Lipton 20pk,SH-13-17-97,2.69,,"
"
5294,7247370,"Kassieine Schesir tuunikala&kana, 85g",SH-7-1-1,2.69,,"
"
5288,1364657,"Kombucha jook Captain Kombucha Originaal 0,4l",SH-3-5,2.69,,"
"
5292,7247365,"Kassieine Schesir tuunikala, 85g",SH-7-1-1,2.69,,"
"
5293,7247366,"Kassieine Schesir kana, 85g",SH-7-1-1,2.69,,"
"
5296,1357792,"Alkoholivaba õlu Paulaner Hefe Weisbier 0,5l",SH-3-1,2.69,,"
"
5278,1358834,Apelsinimahl konts.mahlast Granini 1L,SH-3-8-1,2.69,,"
"
5285,195397,Riisihelbed Veski Mati 500g,SH-13-2-13,2.69,,"
"
5277,1000279,Merevetika snäkk tempura 25g,SH-13-11-66,2.69,,"
"
5265,261237,Riivjuust suits. Kadaka Saaremaa 200g,SH-11-3-18,2.69,,"
"
5275,919402,Mahejuust Öko viil. Saaremaa 150g,SH-11-3-17,2.69,,"
"
5274,913054,Koduküla hautatud kanaliha 250g,SH-8-6,2.69,,"
"
5273,913048,Koduküla hautatud veiseliha 250g,SH-8-6,2.69,,"
"
5272,155702,Šokolaadikaste ICA 300g,SH-13-10-59,2.69,,"
"
5345,277559,Veisevürtsisink Oskar 100g,SH-8-11-20,2.69,,"
"
5270,808182,Kanamunad kodumaine Rimi L 10tk,SH-11-7-29,2.69,,"
"
5269,202333,Tallinna kilud 250g,SH-8-5-7,2.69,,"
"
5268,936477,Juust täispiimast Eesti viilutatud 180g,SH-11-3-17,2.69,,"
"
5267,925162,Moorapea Lõuna Pagarid 165g,SH-6-1-5,2.69,,"
"
5266,279264,Juust Atleet originaal Valio 200g,SH-11-3-19,2.69,,"
"
5297,812695,Jogurtijäätis mango Rimi 500ml/275g,SH-4-1-8,2.69,,"
"
5264,222142,Rakvere suitsusardell 500g,SH-8-22,2.69,,"
"
5263,168804,Šokolaadivahvlid Kinder Bueno Mini 108g,SH-9-6-8,2.69,,"
"
5276,923289,Hummus naturaalne Noa 175g,SH-16-10,2.69,,"
"
5298,167437,Müsli Active&Fit Energy Herkuless 350g,SH-13-3-16,2.69,,"
"
5319,155714,Karamellikaste ICA 300g,SH-13-10-59,2.69,,"
"
5304,190094,Kiirsupp köögivilja-nuudli Ramyun 112g,SH-13-8-39,2.69,,"
"
5262,184757,Kakaobatoonike šokol.glasuur. Mesikäpp 200g,SH-9-6-8,2.69,,"
"
5344,154205,Sibul praetud Golden Turtle 200g,SH-13-11-72,2.69,,"
"
5343,968950,Paneeritud hakkšnitsel Maks&Moorits 400g,SH-8-12-30,2.69,,"
"
5341,912381,Rasvavõie EveSol 75% 500g,SH-11-9-39,2.69,,"
"
5336,185293,Õunad piima šokolaadis Skriveru 110g,SH-9-3-4,2.69,,"
"
